Depth,Reeval_level,Time(s)
2,1,2.0500575380000328
2,1,2.0807812869999793
2,1,3.120091472000013
2,1,2.537948857999993
2,1,1.9423331649999795
2,1,2.4541460010000264
2,1,1.5871676879999654
2,1,1.6269332360000135
2,1,1.7531809920000114
2,1,3.0386758939999936
2,1,1.9131704170000035
2,1,0.9201297110000155
2,1,2.036089017999984
2,1,1.6517822449999926
2,1,2.751876116999995
2,1,1.9569838179999692
2,1,2.6507575589999988
2,1,1.924251015999971
2,1,2.3039329370000132
2,1,0.6686532109999916
2,1,0.9411244469999929
2,1,2.6304898700000194
2,1,1.4670715550000182
2,1,1.8957277790000262
2,1,2.0473784380000097
2,1,0.9478065019999917
2,1,1.888481721000005
2,1,1.622315872999991
2,1,3.167823157999976
2,1,1.8381261520000294
2,1,0.6510987430000341
2,1,1.2815043239999682
2,1,2.9937967980000053
2,1,1.0369551419999539
2,1,1.578069212999992
2,1,3.671084181000026
2,1,3.0711647519999588
2,1,3.394211908999978
2,1,4.016494543999954
2,1,4.024656538999977
2,1,1.5397005639999861
2,1,2.314628390999985
2,1,2.7717314369999713
2,1,1.9369975370000247
2,1,1.0383040639999876
2,1,2.80745226199997
2,1,2.1509329130000197
2,1,3.1814584389999823
2,1,2.0460858710000025
2,1,1.1570584039999972
2,1,1.051871532000007
2,1,0.9586471310000206
2,1,0.8052480349999769
2,1,3.1708525750000263
2,1,0.9143279549999761
2,1,1.5778748779999887
2,1,1.322952928999996
2,1,3.481881482999995
2,1,2.931057998999961
2,1,1.4800175969999714
2,1,0.9057920490000129
2,1,1.8390333289999603
2,1,2.2927695899999776
2,1,2.074101065000036
2,1,2.6576802860000157
2,1,2.2197778230000154
2,1,2.2255666220000307
2,1,2.2453533730000004
2,1,3.3535038659999827
2,1,1.113457689000029
2,1,2.316472396999984
2,1,2.716084115000001
2,1,1.2324602229999755
2,1,2.8528168469999855
2,1,1.8219985320000092
2,1,2.861332978000007
2,1,2.0422684430000118
2,1,1.4401486230000273
2,1,2.6665278240000134
2,1,1.510828177999997
2,1,2.0456225639999275
2,1,2.0996307249999973
2,1,1.3475652419999733
2,1,2.0245959549999952
2,1,2.1878933799999913
2,1,3.6252767620001123
2,1,3.6980390779999652
2,1,2.5832261670000207
2,1,1.7872684520000348
2,1,1.5239785300000221
2,1,0.6405058430000281
2,1,3.2957725290000326
2,1,2.308482718999926
2,1,1.7656846660000838
2,1,1.6222003980000181
2,1,4.28197250300002
2,1,2.0774631430000454
2,1,2.737752819000093
2,1,1.8776091670000596
2,1,2.1804467110000587
2,1,1.657710259000055
2,1,2.49473552500001
2,1,1.1972935590000588
2,1,2.101975404000086
2,1,1.1432552620000251
2,1,2.006561473999909
2,1,1.79119544699995
2,1,1.677317228999982
2,1,2.5821872029999895
2,1,1.0527822620000507
2,1,1.4121696170000178
2,1,3.0882363929999883
2,1,3.1756748529999186
2,1,1.1545272480000222
2,1,1.31826450199992
2,1,1.9545540579999852
2,1,1.7714532950000148
2,1,1.9575534479999988
2,1,1.6601016790000358
2,1,4.053076027000088
2,1,1.8388527360000353
2,1,1.9564462199999753
2,1,2.772175329999982
2,1,2.9479039889999967
2,1,2.3793342399999347
2,1,3.0456564460000664
2,1,2.0110361099999636
2,1,0.9174363139999286
2,1,1.3527860739999369
2,1,1.5864339170000221
2,1,2.052140529999974
2,1,2.97181789199999
2,1,1.253371828000013
2,1,2.6277568079999583
2,1,2.3089543090000006
2,1,1.6788986839999325
2,1,1.3170300570000109
2,1,2.882011016999968
2,1,2.2013540199999397
2,1,2.3072271969999747
2,1,0.6740772489999927
2,1,2.008567081000024
2,1,1.71057668200001
2,1,2.7097841430000926
2,1,3.194319078000035
2,1,1.902803328999994
2,1,1.8913845790000323
2,1,1.6330128099999683
2,1,2.260043298000028
2,1,1.2777816010000151
2,1,1.3030071099999532
2,1,2.432350336000013
2,1,2.9931085099999564
2,1,1.1038647729999411
2,1,3.721056417
2,1,1.3749903670000094
2,1,2.883029474999944
2,1,1.8900246789999073
2,1,0.7062195299999985
2,1,2.134666372999959
2,1,1.9832905630000823
2,1,1.638611286000014
2,1,3.0377758070000027
2,1,0.8799082580000004
2,1,3.196966211000017
2,1,2.5207848129999775
2,1,1.6659508919999553
2,1,2.1048772469999903
2,1,0.846867546999988
2,1,2.709388761000014
2,1,1.5741713559999653
2,1,0.949613779999936
2,1,3.4346832210000002
2,1,1.9427592789999153
2,1,2.6784074089999876
2,1,3.3080701489999456
2,1,2.3852854749999324
2,1,2.088216078000073
2,1,2.4288952599999902
2,1,2.018816013999981
2,1,1.7800742549999313
2,1,1.9961247100000037
2,1,2.133868502000041
2,1,2.228884647999962
2,1,1.2187838019999617
2,1,2.9034825300000193
2,1,2.6682354699998996
2,1,1.3182050300000583
2,1,2.002803713999924
2,1,2.2269113850001077
2,1,2.7345890190000546
2,1,3.541508861000011
2,1,2.7081433130000505
2,1,0.6924113769999849
2,1,2.620381815999963
2,1,1.8336826790000487
2,1,0.6788931940000111
2,1,2.0297210370000585
2,1,1.854572941000015
2,1,0.9485055840000314
2,1,1.6203624730000001
2,1,1.2828628800000388
2,1,3.276902843000016
2,1,1.4988951029999953
2,1,1.4754269340000974
2,1,2.6827227100000073
2,1,0.980251386999953
2,1,1.719171963000008
2,1,1.194632855000009
3,2,8.043713851000007
3,2,16.421555915
3,2,34.61815024100008
3,2,31.381857792000005
3,2,9.281573005999917
3,2,10.297810133999974
3,2,11.84428088300001
3,2,21.050658359999943
3,2,13.14236615499999
3,2,22.021552182999926
3,2,24.756209375000026
3,2,4.327872082999875
3,2,19.33256015699999
3,2,21.34405945000003
3,2,28.221104490999778
3,2,13.13817726000002
3,2,12.58454738599994
3,2,18.194817588999967
3,2,13.401928668999972
3,2,3.7249174080000103
3,2,3.8612581729998965
3,2,26.78569913599995
3,2,12.631162062000158
3,2,28.740738072000113
3,2,19.76185422200001
3,2,4.811601246999999
3,2,20.562450360999946
3,2,10.597283755999797
3,2,37.21754604600005
3,2,14.819307898000034
3,2,4.578984147000028
3,2,5.493544816999929
3,2,15.625260086000026
3,2,20.199989954000102
3,2,18.953595112999892
3,2,33.11569074699992
3,2,53.38491521600008
3,2,33.282733433999965
3,2,23.994407591000027
3,2,22.152319777000002
3,2,8.363857637000137
3,2,14.345406798999875
3,2,26.70742588799999
3,2,20.00143168700015
3,2,6.122927247999996
3,2,31.88858199099991
3,2,14.030399205999856
3,2,24.990350742999908
3,2,26.92462550600021
3,2,4.631444378999959
3,2,7.526575657999956
3,2,6.994684439000139
3,2,6.583374818000038
3,2,31.095167871000058
3,2,6.342805486000088
3,2,31.669771845000014
3,2,12.005753708000157
3,2,22.428368066000075
3,2,31.601892442999997
3,2,15.022703726000145
3,2,5.595058627999833
3,2,11.817652855000006
3,2,14.82535523499996
3,2,11.020958826999959
3,2,25.997725730999946
3,2,18.20846044299992
3,2,18.443038902999888
3,2,15.549352999999883
3,2,24.311494763000155
3,2,5.970944136000071
3,2,39.56274856099981
3,2,37.52355189000036
3,2,9.73681584399992
3,2,13.570979971999805
3,2,10.892518956000004
3,2,19.780947011999615
3,2,12.963769742000295
3,2,11.189382833999844
3,2,40.7216292119997
3,2,8.406139166999765
3,2,7.704226769000343
3,2,11.68981792700015
3,2,20.885707714999626
