Depth,Reeval_level,Time(s)
2,1,2.9447332359850407
2,1,2.6450448501855135
2,1,1.3286179695278406
2,1,2.1305376514792442
2,1,1.2168209590017796
2,1,1.544264419004321
2,1,1.6286652814596891
2,1,1.3419605065137148
2,1,1.5911942832171917
2,1,0.8773519843816757
2,1,1.529059087857604
2,1,1.187674194574356
2,1,1.9583684392273426
2,1,1.5053893215954304
2,1,1.5698114782571793
2,1,2.6140248347073793
2,1,2.8096702694892883
2,1,3.1618174258619547
2,1,1.9655163418501616
2,1,0.8018952924758196
2,1,2.463551927357912
2,1,2.873802524060011
2,1,1.638616917654872
2,1,1.7430138941854239
2,1,2.929791685193777
2,1,1.9974224418401718
2,1,2.1703546345233917
2,1,1.3030040953308344
2,1,2.0415853895246983
2,1,2.0176372062414885
2,1,3.056829420849681
2,1,2.8719536811113358
2,1,3.7237202748656273
2,1,2.0849567502737045
2,1,2.012699095532298
2,1,2.663481755182147
2,1,4.000494383275509
2,1,3.6674014404416084
2,1,1.787728512659669
2,1,2.333718730136752
2,1,3.124568158760667
2,1,1.7459194976836443
2,1,3.3353482466191053
2,1,1.3104505259543657
2,1,3.3674964737147093
2,1,2.830508215352893
2,1,3.385760210454464
2,1,2.8131344225257635
2,1,1.307742778211832
2,1,3.7961019910871983
2,1,1.8130722288042307
2,1,2.193086100742221
2,1,3.7686200477182865
2,1,1.6727859005331993
2,1,2.7473975252360106
2,1,3.9387667272239923
2,1,3.9041037000715733
2,1,2.6692315880209208
2,1,3.105811318382621
2,1,2.338761333376169
2,1,2.3424673676490784
2,1,3.730019586160779
2,1,2.7295423187315464
2,1,4.033170226961374
2,1,3.261214518919587
2,1,4.797345204278827
2,1,3.3668025974184275
2,1,3.3359844889491796
2,1,2.571217466145754
2,1,3.8865496907383204
2,1,3.3707305379211903
2,1,4.579363880679011
2,1,4.589117242023349
2,1,4.225088717415929
2,1,3.0561352353543043
2,1,4.748776974156499
2,1,1.7538671530783176
2,1,5.022750958800316
2,1,5.099385002627969
2,1,3.7194125782698393
2,1,6.0698255486786366
2,1,3.2328039817512035
2,1,3.7019863463938236
2,1,3.0207603983581066
2,1,2.1366685647517443
2,1,3.0932022631168365
2,1,5.048212870955467
2,1,3.6626082342118025
2,1,5.507170608267188
2,1,3.329887941479683
2,1,3.1188878249377012
2,1,3.4679301735013723
2,1,3.9645839910954237
2,1,4.927208973094821
2,1,4.061945013701916
2,1,3.821070333942771
2,1,4.656551910564303
2,1,5.7100204192101955
2,1,3.579169886186719
2,1,5.317031657323241
2,1,3.6750062834471464
2,1,3.4215771071612835
2,1,4.285581856966019
2,1,4.502710519358516
2,1,3.804388113319874
2,1,5.57511942833662
2,1,5.3218565713614225
