Depth,Reeval_level,N_best,percentage,percentage_epsilon,Time(s)
2,1,5,,,2.6969306729733944
2,1,5,,,1.024059284478426
2,1,5,,,1.02849124930799
2,1,5,,,0.9097470436245203
2,1,5,,,0.8951869606971741
2,1,5,,,1.0384007450193167
2,1,5,,,1.0345968920737505
2,1,5,,,0.6747772879898548
2,1,5,,,1.036669222638011
2,1,5,,,0.6657891683280468
2,1,5,,,1.0872377548366785
2,1,5,,,0.8279783762991428
2,1,5,,,0.6474386919289827
2,1,5,,,1.034619590267539
2,1,5,,,0.6775870248675346
2,1,5,,,1.109301295131445
2,1,5,,,1.1022634711116552
2,1,5,,,1.1222253888845444
2,1,5,,,0.7167399693280458
2,1,5,,,0.8500489499419928
2,1,5,,,0.6379253566265106
2,1,5,,,1.083788938820362
2,1,5,,,1.16237866692245
2,1,5,,,1.0910714715719223
2,1,5,,,0.7631860487163067
2,1,5,,,1.1834929641336203
2,1,5,,,1.0496814027428627
2,1,5,,,1.120803888887167
2,1,5,,,0.7516216561198235
2,1,5,,,1.2335462346673012
2,1,5,,,1.254138508811593
2,1,5,,,1.1888780873268843
2,1,5,,,1.204030830413103
2,1,5,,,1.1424518022686243
2,1,5,,,1.3152117542922497
2,1,5,,,1.1694429907947779
2,1,5,,,1.3381130993366241
2,1,5,,,1.350034387782216
2,1,5,,,1.300366124138236
2,1,5,,,0.8667046576738358
2,1,5,,,0.7571440599858761
2,1,5,,,1.3978774324059486
2,1,5,,,1.1649567931890488
2,1,5,,,1.245086019858718
2,1,5,,,1.2564993016421795
2,1,5,,,1.4636056497693062
2,1,5,,,1.4703742787241936
2,1,5,,,1.2741557974368334
2,1,5,,,1.4726517908275127
2,1,5,,,1.2323210164904594
2,1,5,,,1.5041502173990011
2,1,5,,,1.273552032187581
2,1,5,,,0.7209225296974182
2,1,5,,,0.9365879781544209
2,1,5,,,0.9463879372924566
2,1,5,,,0.7827389724552631
2,1,5,,,0.7830851171165705
2,1,5,,,0.9572954848408699
2,1,5,,,0.7998860087245703
2,1,5,,,0.7844150308519602
2,1,5,,,0.9549633823335171
2,1,5,,,0.8567369561642408
2,1,5,,,0.8877544663846493
2,1,5,,,0.8106619622558355
2,1,5,,,0.7886617165058851
2,1,5,,,0.9846145883202553
2,1,5,,,0.7929355893284082
2,1,5,,,0.7994202766567469
2,1,5,,,0.8499707076698542
2,1,5,,,0.8144829906523228
2,1,5,,,1.3476690910756588
2,1,5,,,0.8199880421161652
2,1,5,,,0.8252511583268642
2,1,5,,,1.3028579764068127
2,1,5,,,0.9130165502429008
2,1,5,,,1.5971930846571922
2,1,6,,,2.9363431446254253
2,1,6,,,1.601457368582487
2,1,6,,,1.6309456396847963
2,1,6,,,1.4563689082860947
2,1,6,,,1.3998214472085238
2,1,6,,,1.6838113311678171
2,1,6,,,1.6419114992022514
2,1,6,,,1.0401667803525925
2,1,6,,,1.6657290663570166
2,1,6,,,1.0671957097947598
2,1,6,,,1.7023278679698706
2,1,6,,,1.2781439125537872
2,1,6,,,0.9808599874377251
2,1,6,,,1.5961793139576912
2,1,6,,,1.1093305889517069
2,1,6,,,1.7342229802161455
2,1,6,,,1.7880479581654072
2,1,6,,,1.7708942536264658
2,1,6,,,1.0758998170495033
2,1,6,,,1.3388936519622803
2,1,6,,,0.8981698360294104
2,1,6,,,1.6313309408724308
2,1,6,,,1.804249357432127
2,1,6,,,1.6141465567052364
2,1,6,,,1.096152300015092
2,1,6,,,1.7279399950057268
2,1,6,,,1.574632789939642
2,1,6,,,1.6824343707412481
2,1,6,,,1.065628407523036
2,1,6,,,1.781258873641491
2,1,6,,,1.7899920213967562
2,1,6,,,1.698279120028019
2,1,6,,,1.6634945664554834
2,1,6,,,1.5929200798273087
2,1,6,,,1.8016074504703283
2,1,6,,,1.6306139584630728
2,1,6,,,1.8280744813382626
2,1,6,,,1.8318878803402185
2,1,6,,,1.8213743716478348
2,1,6,,,1.1159019246697426
2,1,6,,,0.9598833229392767
2,1,6,,,1.7966475281864405
2,1,6,,,1.5210369005799294
2,1,6,,,1.5931561570614576
2,1,6,,,1.588422255590558
2,1,6,,,1.8224527072161436
2,1,6,,,1.8027499187737703
2,1,6,,,1.5742427613586187
2,1,6,,,1.8239660691469908
2,1,6,,,1.496276531368494
2,1,6,,,1.8395099472254515
2,1,6,,,1.5671832505613565
2,1,6,,,0.8590301722288132
2,1,6,,,1.101212652400136
2,1,6,,,1.1280254386365414
2,1,6,,,0.9059535060077906
2,1,6,,,0.9113246537744999
2,1,6,,,1.0957427471876144
2,1,6,,,0.9297436159104109
2,1,6,,,0.9108103569597006
2,1,6,,,1.096372839063406
2,1,6,,,0.9796052630990744
2,1,6,,,1.025471094995737
2,1,6,,,0.9202180337160826
2,1,6,,,0.9172849245369434
2,1,6,,,1.0763745810836554
2,1,6,,,0.9099747538566589
2,1,6,,,0.9159574396908283
2,1,6,,,0.9508057795464993
2,1,6,,,0.927544379606843
2,1,6,,,1.5232249032706022
2,1,6,,,0.9269709922373295
2,1,6,,,0.9177199229598045
